indiv	community.1	community.11	community.13	community.14	community.15	community.16	community.17	community.18	community.19	community.2	community.20	community.21	community.22	community.23	community.25	community.27	community.28	community.29	community.3	community.30	community.31	community.32	community.33	community.36	community.37	community.4	community.6	community.8	community.9	priass	mean_het_comm	wt_avg_het_comm	species
AI_1603_79232	7.01E-05	0.000343012	0.000300975	0.000318169	0.000171394	0.000271557	0.000230302	0.000206451	0.000215645	0.000242286	0.000118882	0.000217373	0.000158013	0.000211114	0.000315114	0.00020129	0.000113715	0.000265661	NA	0.000185821	0.000237923	0.000237688	0.000271264	0.000368371	0.00033134	0.000196059	0.000190873	0.000175446	0.000203944	1240811908	0.000234451	0.000192117	AI
AI_1603_79302	9.59E-07	0.000236161	0.000200802	0.000297778	0.000176093	0.000283783	0.000256849	0.000242665	0.000179286	0.000231422	0.000118643	0.000231583	0.000181113	0.000193343	0.000319126	0.000202933	0.000115849	0.000264419	NA	0.000185176	0.000224078	0.000200429	0.000217701	0.000287512	0.000215625	0.000183429	0.000198878	0.000175127	0.000166628	1244923287	0.000216146	0.000185622	AI
AI_1603_79315	1.11E-06	0.000284938	0.000327612	0.000303502	0.000180909	0.000221265	0.00030105	0.000221616	0.000177539	0.000211648	0.000124369	0.000231806	0.000138133	0.000200844	0.000267395	0.000190592	0.000114438	0.000317126	NA	0.000161235	0.000247563	0.000225667	0.000223652	0.000374156	0.000295344	0.000176626	0.000201418	0.00017614	0.000190384	1247131528	0.000226792	0.000187226	AI
AI_1703_64680	7.17E-05	0.000295523	0.000238594	0.000209418	0.000178912	0.000262064	0.000270838	3.17E-05	0.000203853	0.000245412	0.000123041	0.000205225	0.000178363	0.000198651	0.00020678	0.000204828	0.000101603	0.000232476	NA	0.000176818	0.000272432	0.000232107	0.00021958	0.000380076	0.000275502	0.000171676	0.000225693	0.000181495	0.0001717	1220361116	0.000212411	0.000180393	AI
AI_1833_00513	7.31E-05	0.000307824	0.000193061	0.000209775	0.000203699	0.000248124	0.000279061	0.000249539	0.00019075	0.000177103	0.00012323	0.000223434	0.000175299	0.000184169	0.000267539	0.000170459	0.00010435	0.000273026	NA	0.0001391	0.000230078	0.00023318	0.000217701	0.000257644	0.000257943	0.000191987	0.000188784	0.000153837	0.000176736	1221611311	0.000209642	0.000180234	AI
AI_1833_00687	6.47E-05	0.000263339	0.000212413	0.000244476	0.000199999	0.000239418	0.000222749	0.000217738	0.000164291	0.000215634	0.000118265	0.000203958	0.000193724	0.000198767	0.000282728	0.000219865	0.000120115	0.000310737	NA	0.000183914	0.000226796	0.000243146	0.000205276	0.000347114	0.000277433	0.00016494	0.00018257	0.000162923	0.000179877	1218349663	0.000216243	0.000180502	AI
AW_365326	0.001072899	0.00367687	0.002195158	0.0033001	0.002685154	0.003163981	0.002937788	0.00263615	0.00281325	0.003004342	0.001720728	0.002800283	0.002414072	0.00314092	0.003667015	0.002332466	0.001496992	0.003231504	NA	0.00241534	0.002774982	0.002777003	0.002576385	0.003219681	0.003586617	0.002456903	0.002717595	0.002566035	0.002459993	1372427752	0.002781051	0.002484979	AW
AW_365327	0.001117976	0.003795451	0.002742923	0.003081882	0.002767209	0.003217885	0.002969654	0.002618497	0.002814997	0.003111495	0.001707632	0.002838764	0.002383075	0.00312638	0.003588344	0.002336299	0.001529642	0.003277556	NA	0.002366942	0.002702118	0.002756058	0.002511754	0.003191293	0.003425249	0.002493534	0.002662007	0.002473055	0.002403108	1312420807	0.002788065	0.002465926	AW
AW_365335	7.89E-06	0.003743527	0.00255988	0.00329502	0.002715756	0.003077197	0.002969028	0.002602637	0.002830174	0.003122202	0.00178059	0.002807761	0.002361349	0.003181885	0.00363119	0.002314397	0.001494352	0.00326886	NA	0.002378568	0.002706681	0.002748944	0.002645924	0.003172861	0.003374328	0.002427687	0.002634496	0.002569978	0.002385323	1373055325	0.002785203	0.002474921	AW
AW_365337	0.001103465	0.003810328	0.00255305	0.003152928	0.00271834	0.00313564	0.002969877	0.002645377	0.002697875	0.003088907	0.00171872	0.002808506	0.002421065	0.003102205	0.003590637	0.002327201	0.001532607	0.003242507	NA	0.002412372	0.002788211	0.00272067	0.002477193	0.003217394	0.003216999	0.002411068	0.002754311	0.002566019	0.002441135	1289904479	0.002772308	0.002475465	AW
AW_365338	0.001124969	0.003429695	0.003010204	0.003403915	0.002693377	0.00315671	0.003020737	0.002617909	0.002853795	0.003120639	0.001713202	0.002755219	0.002426526	0.003146805	0.003630904	0.002148276	0.001500463	0.003246145	NA	0.002370956	0.002716526	0.002820824	0.00262003	0.00323327	0.003557645	0.002468407	0.002716744	0.002487235	0.00251674	1294484186	0.002802545	0.002478985	AW
AW_365339	1.02E-05	0.003700329	0.002804621	0.003302604	0.002722158	0.003087015	0.002936	0.002620691	0.002757819	0.002997933	0.001747975	0.002774372	0.002362724	0.003186789	0.003695388	0.002257872	0.001526605	0.003188736	NA	0.002403111	0.002739088	0.002772648	0.002591212	0.002662012	0.003387673	0.002498971	0.001835502	0.002557619	0.002510895	1334238417	0.002735287	0.002420397	AW
AW_366487	0.00117056	0.00374081	0.00303206	0.00330611	0.002764566	0.002892702	0.002949497	0.002592474	0.002808737	0.003045062	0.001792301	0.002696491	0.002423108	0.003151363	0.003671171	0.002345734	0.001530329	0.003161939	NA	0.002331862	0.002706271	0.002753574	0.002586304	0.003333906	0.003445267	0.002355178	0.002637526	0.002551276	0.002432959	1314247781	0.002792524	0.002462018	AW
AW_366488	1.06E-05	0.003815477	0.002653906	0.003166165	0.00272392	0.003083356	0.002910927	0.002534355	0.002763861	0.002978863	0.001783944	0.002741034	0.002306936	0.003197982	0.003702696	0.002328507	0.00153644	0.003204441	NA	0.002375816	0.002724013	0.002789484	0.002582546	0.003086083	0.003387497	0.002447261	0.002722726	0.002526933	0.002475485	1313060725	0.002772122	0.002476245	AW
AW_366490	0.001112258	0.003810471	0.0029032	0.003409281	0.002758693	0.003102204	0.002646749	0.002623338	0.002807608	0.003035214	0.001761825	0.002731395	0.002388339	0.003115995	0.003592213	0.002284576	0.001513443	0.003137005	NA	0.002392044	0.002745857	0.00276627	0.002608858	0.003127925	0.00347898	0.002453633	0.002666803	0.002582893	0.00247657	1302773274	0.002786339	0.002479763	AW
AW_366493	8.96E-06	0.003755686	0.002806442	0.003279638	0.002690205	0.003106418	0.002807419	0.002630292	0.002695	0.002991134	0.001768829	0.002733034	0.002342962	0.003122053	0.003685787	0.002340764	0.00149052	0.003224494	NA	0.002427611	0.0027918	0.002706258	0.002576803	0.003223718	0.003484248	0.002452648	0.002717234	0.002608632	0.002436362	1311974618	0.002786909	0.002484213	AW
AW_366494	6.61E-06	0.003726792	0.002632278	0.003236209	0.002702246	0.00317704	0.002899709	0.002634973	0.002825078	0.002984178	0.001805522	0.002753927	0.002330705	0.003126034	0.003705706	0.002293547	0.00154161	0.003199117	NA	0.002340707	0.002794415	0.002724718	0.002481056	0.003233539	0.003263179	0.002448808	0.002707037	0.002551799	0.002426341	1308193352	0.002773843	0.00248022	AW
AW_366497	0.001124641	0.003678873	0.002734727	0.00314098	0.00274066	0.003122488	0.002949899	0.002475835	0.002729467	0.003094378	0.00176976	0.002747269	0.002392503	0.003105955	0.00363248	0.001946775	0.001510515	0.003253332	NA	0.002345782	0.002730986	0.002663234	0.001689608	0.003171785	0.003486355	0.002477635	0.002688138	0.00258148	0.002419698	1285210154	0.002725419	0.002454724	AW
AW_366498	1.01E-05	0.003774567	0.002952604	0.00329824	0.002629295	0.003143651	0.002922905	0.002620798	0.002733033	0.00297558	0.001773687	0.00270762	0.00225716	0.003188924	0.003568855	0.002160786	0.001516806	0.003220413	NA	0.002338299	0.002729807	0.002736647	0.00266618	0.003184432	0.003496715	0.002407906	0.002542902	0.002577938	0.002460865	1326831416	0.002774067	0.00245646	AW
AW_366499	1.11E-05	0.003744815	0.002255034	0.003126814	0.002671821	0.003129388	0.002882056	0.00258552	0.002706173	0.003031306	0.001768143	0.002782893	0.002424562	0.003182693	0.003557535	0.002353821	0.001524435	0.003181282	NA	0.002325655	0.002655661	0.002780468	0.002522822	0.003214703	0.003396277	0.002435963	0.002669484	0.002558101	0.002473429	1314134882	0.002748747	0.002468439	AW
CY_8788	3.11E-05	0.000463739	0.000338084	0.000376194	0.000223611	0.000246967	0.000247196	0.000194549	0.000216955	0.000307312	9.91E-05	0.000194791	0.000192664	0.000289582	0.000458843	0.000197794	0.000145968	0.000310116	NA	0.000151271	0.000255049	0.000206992	0.00030854	0.000389225	0.000498853	0.000142759	0.000154995	0.000154474	0.000147159	1185719108	0.000260216	0.00017794	CY
