aphWoo1#REF#ScYP8k347HRSCAF149_RagTag	34924
aphWoo1#REF#ScYP8k348HRSCAF150_RagTag	68907
aphWoo1#REF#ScYP8k3497HRSCAF633_RagTag	29368
aphWoo1#REF#ScYP8k34HRSCAF13ch7_RagTag	40031444
aphWoo1#REF#ScYP8k3506HRSCAF642_RagTag	67874
aphWoo1#REF#ScYP8k350HRSCAF152_RagTag	89584
aphWoo1#REF#ScYP8k3511HRSCAF648_RagTag	37461
aphWoo1#REF#ScYP8k3518HRSCAF655_RagTag	30506
aphWoo1#REF#ScYP8k352HRSCAF155_RagTag	65852
aphWoo1#REF#ScYP8k3543HRSCAF680_RagTag	28978
aphWoo1#REF#ScYP8k354HRSCAF159_RagTag	157346
aphWoo1#REF#ScYP8k3554HRSCAF692_RagTag	21767
aphWoo1#REF#ScYP8k3557HRSCAF695_RagTag	55902
aphWoo1#REF#ScYP8k356HRSCAF162_RagTag	65139
aphWoo1#REF#ScYP8k357HRSCAF163_RagTag	70820
aphWoo1#REF#ScYP8k3597HRSCAF735_RagTag	45693
aphWoo1#REF#ScYP8k359HRSCAF165_RagTag	51624
aphWoo1#REF#ScYP8k35HRSCAF18ch5_RagTag	69755411
aphWoo1#REF#ScYP8k3606HRSCAF745_RagTag	1000
aphWoo1#REF#ScYP8k360HRSCAF166_RagTag	51672
aphWoo1#REF#ScYP8k3614HRSCAF754_RagTag	39620
aphWoo1#REF#ScYP8k3620HRSCAF760_RagTag	35438
aphWoo1#REF#ScYP8k3629HRSCAF770ch2_RagTag	158697342
aphWoo1#REF#ScYP8k362HRSCAF168_RagTag	146747
aphWoo1#REF#ScYP8k3634HRSCAF775_RagTag	27000
aphWoo1#REF#ScYP8k3651HRSCAF793ch14_RagTag	17331865
aphWoo1#REF#ScYP8k3652HRSCAF794_RagTag	418228
aphWoo1#REF#ScYP8k367HRSCAF173_RagTag	36068
aphWoo1#REF#ScYP8k3687HRSCAF830_RagTag	126801
aphWoo1#REF#ScYP8k3696HRSCAF839_RagTag	83870
aphWoo1#REF#ScYP8k369HRSCAF175_RagTag	19861348
aphWoo1#REF#ScYP8k369HRSCAF175ch21_RagTag	8353691
aphWoo1#REF#ScYP8k369HRSCAF175ch22_RagTag	5695060
aphWoo1#REF#ScYP8k369HRSCAF175ch23_RagTag	7432723
aphWoo1#REF#ScYP8k369HRSCAF175ch24_RagTag	6978428
aphWoo1#REF#ScYP8k369HRSCAF175ch25_RagTag	4053409
aphWoo1#REF#ScYP8k369HRSCAF175ch26_RagTag	6991000
aphWoo1#REF#ScYP8k369HRSCAF175ch27_RagTag	3938244
aphWoo1#REF#ScYP8k369HRSCAF175ch28_RagTag	9936041
aphWoo1#REF#ScYP8k36HRSCAF25ch19_RagTag	11269984
aphWoo1#REF#ScYP8k3708HRSCAF852_RagTag	61684
aphWoo1#REF#ScYP8k370HRSCAF176_RagTag	33067
aphWoo1#REF#ScYP8k3712HRSCAF856_RagTag	2000
aphWoo1#REF#ScYP8k3728HRSCAF872_RagTag	32346
aphWoo1#REF#ScYP8k3741HRSCAF885_RagTag	52505
aphWoo1#REF#ScYP8k3748HRSCAF892_RagTag	54200
aphWoo1#REF#ScYP8k374HRSCAF180_RagTag	312244
aphWoo1#REF#ScYP8k375HRSCAF181_RagTag	137076
aphWoo1#REF#ScYP8k3765HRSCAF909_RagTag	92927
aphWoo1#REF#ScYP8k376HRSCAF182_RagTag	73195
aphWoo1#REF#ScYP8k377HRSCAF183_RagTag	103798
aphWoo1#REF#ScYP8k379HRSCAF185_RagTag	60573
aphWoo1#REF#ScYP8k37HRSCAF29ch17_RagTag	979576
aphWoo1#REF#ScYP8k381HRSCAF187_RagTag	124720
aphWoo1#REF#ScYP8k382HRSCAF188_RagTag	68265
aphWoo1#REF#ScYP8k3845HRSCAF990_RagTag	18265
aphWoo1#REF#ScYP8k384HRSCAF190_RagTag	40751
aphWoo1#REF#ScYP8k3864HRSCAF1010ch15_RagTag	26128124
aphWoo1#REF#ScYP8k3865HRSCAF1011ch20_RagTag	16213200
aphWoo1#REF#ScYP8k3866HRSCAF1020ch3_RagTag	120826121
aphWoo1#REF#ScYP8k3867HRSCAF1021_RagTag	1158000
aphWoo1#REF#ScYP8k3868HRSCAF1022_RagTag	1916399
aphWoo1#REF#ScYP8k3869HRSCAF1023ch11_RagTag	21594000
aphWoo1#REF#ScYP8k3870HRSCAF1029ch12_RagTag	22375000
aphWoo1#REF#ScYP8k387HRSCAF194_RagTag	31601
aphWoo1#REF#ScYP8k388HRSCAF195_RagTag	150794
aphWoo1#REF#ScYP8k389HRSCAF196_RagTag	1000
aphWoo1#REF#ScYP8k38HRSCAF31ch18_RagTag	12597934
aphWoo1#REF#ScYP8k390HRSCAF197_RagTag	25084
aphWoo1#REF#ScYP8k391HRSCAF199_RagTag	78435
aphWoo1#REF#ScYP8k392HRSCAF200_RagTag	145737
aphWoo1#REF#ScYP8k393HRSCAF201_RagTag	39743
aphWoo1#REF#ScYP8k395HRSCAF203_RagTag	73105
aphWoo1#REF#ScYP8k397HRSCAF205_RagTag	130589
aphWoo1#REF#ScYP8k39HRSCAF32ch6_RagTag	37389000
aphWoo1#REF#scaffold_100	717797
aphWoo1#REF#scaffold_1001	17232
aphWoo1#REF#scaffold_1002	16922
aphWoo1#REF#scaffold_1003	16759
aphWoo1#REF#scaffold_1005	16000
aphWoo1#REF#scaffold_1008	15000
aphWoo1#REF#scaffold_1009	14704
aphWoo1#REF#scaffold_1010	14000
aphWoo1#REF#scaffold_1011	13981
aphWoo1#REF#scaffold_1012	13361
aphWoo1#REF#scaffold_1014	11963
aphWoo1#REF#scaffold_1015	8000
aphWoo1#REF#scaffold_1016	6000
aphWoo1#REF#scaffold_1017	6000
aphWoo1#REF#scaffold_1018	6000
aphWoo1#REF#scaffold_1019	5000
aphWoo1#REF#scaffold_102	714184
aphWoo1#REF#scaffold_1020	4000
aphWoo1#REF#scaffold_1021	3000
aphWoo1#REF#scaffold_1022	3000
aphWoo1#REF#scaffold_1024	2000
aphWoo1#REF#scaffold_1025	2000
aphWoo1#REF#scaffold_1028	1000
aphWoo1#REF#scaffold_1029	1000
aphWoo1#REF#scaffold_1030	1000
aphWoo1#REF#scaffold_1031	1000
aphWoo1#REF#scaffold_1032	1000
aphWoo1#REF#scaffold_1033	1000
aphWoo1#REF#scaffold_1034	1000
aphWoo1#REF#scaffold_1035	1000
aphWoo1#REF#scaffold_1037	1000
aphWoo1#REF#scaffold_1038	1000
aphWoo1#REF#scaffold_1039	1000
